sample_id,d_DIM_0002,BEAM_TO_SURFACE_distance,BEAM_SURFACE_ALIGNMENT_delta_x,BEAM_SURFACE_ALIGNMENT_delta_y,BEAM_SURFACE_ALIGNMENT_delta_z,BEAM_SURFACE_ALIGNMENT_delta_rx,BEAM_SURFACE_ALIGNMENT_delta_ry,BEAM_SURFACE_ALIGNMENT_delta_rz,CENTER_TO_NORTH_EDGE_distance,CENTER_TO_EAST_EDGE_distance,NORTH_TO_SOUTH_TILT_delta_x,NORTH_TO_SOUTH_TILT_delta_y,NORTH_TO_SOUTH_TILT_delta_z,EAST_TO_WEST_TILT_delta_x,EAST_TO_WEST_TILT_delta_y,EAST_TO_WEST_TILT_delta_z
106,6.350022482250522,6.350022482250522,0.0,0.0,6.350022482250522,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
107,6.349792612380333,6.349792612380333,0.0,0.0,6.349792612380333,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
108,6.349406523731847,6.349406523731847,0.0,0.0,6.349406523731847,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
109,6.349785994851423,6.349785994851423,0.0,0.0,6.349785994851423,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
110,6.3499460760364705,6.3499460760364705,0.0,0.0,6.3499460760364705,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
111,6.350597579712293,6.350597579712293,0.0,0.0,6.350597579712293,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
112,6.34968070867544,6.34968070867544,0.0,0.0,6.34968070867544,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
113,6.349512074272246,6.349512074272246,0.0,0.0,6.349512074272246,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
114,6.3503064730943,6.3503064730943,0.0,0.0,6.3503064730943,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
115,6.350598346787514,6.350598346787514,0.0,0.0,6.350598346787514,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
116,6.349173429426041,6.349173429426041,0.0,0.0,6.349173429426041,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
117,6.348864373937784,6.348864373937784,0.0,0.0,6.348864373937784,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
118,6.350021721523661,6.350021721523661,0.0,0.0,6.350021721523661,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
119,6.350150465523778,6.350150465523778,0.0,0.0,6.350150465523778,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
120,6.350369102117504,6.350369102117504,0.0,0.0,6.350369102117504,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
121,6.350970218361867,6.350970218361867,0.0,0.0,6.350970218361867,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
122,6.349868556976179,6.349868556976179,0.0,0.0,6.349868556976179,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
123,6.3498449759748805,6.3498449759748805,0.0,0.0,6.3498449759748805,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
124,6.3492820237410585,6.3492820237410585,0.0,0.0,6.3492820237410585,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
125,6.350302632242074,6.350302632242074,0.0,0.0,6.350302632242074,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
126,6.349834321070259,6.349834321070259,0.0,0.0,6.349834321070259,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
127,6.348985002875589,6.348985002875589,0.0,0.0,6.348985002875589,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
128,6.350704911757156,6.350704911757156,0.0,0.0,6.350704911757156,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
129,6.350601395465448,6.350601395465448,0.0,0.0,6.350601395465448,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
130,6.348896342255606,6.348896342255606,0.0,0.0,6.348896342255606,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
131,6.35035184952349,6.35035184952349,0.0,0.0,6.35035184952349,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
132,6.349268363565289,6.349268363565289,0.0,0.0,6.349268363565289,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
133,6.350300860074161,6.350300860074161,0.0,0.0,6.350300860074161,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
134,6.3493918510217595,6.3493918510217595,0.0,0.0,6.3493918510217595,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
135,6.350936065257908,6.350936065257908,0.0,0.0,6.350936065257908,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
136,6.349685546995611,6.349685546995611,0.0,0.0,6.349685546995611,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
137,6.348947745590316,6.348947745590316,0.0,0.0,6.348947745590316,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
138,6.35025195196455,6.35025195196455,0.0,0.0,6.35025195196455,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
139,6.349384346806348,6.349384346806348,0.0,0.0,6.349384346806348,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
140,6.350376359906267,6.350376359906267,0.0,0.0,6.350376359906267,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
141,6.3501072838266746,6.3501072838266746,0.0,0.0,6.3501072838266746,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
142,6.3495846171548065,6.3495846171548065,0.0,0.0,6.3495846171548065,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
143,6.350790942151544,6.350790942151544,0.0,0.0,6.350790942151544,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
144,6.3484357372415285,6.3484357372415285,0.0,0.0,6.3484357372415285,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
145,6.350747114614802,6.350747114614802,0.0,0.0,6.350747114614802,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
146,6.350070926487645,6.350070926487645,0.0,0.0,6.350070926487645,0.0,0.0,0.0,5.0,5.0,0.0,-10.0,0.0,-10.0,0.0,0.0
